English Translation,Standard Bangla Lanuguage,Romanized Bangla,Chittagong Language,Romanized Chittagong Language,Sylhet Language,Romanized Sylhet Language
Why do you feel so sleepy?,তোমার এত ঘুম আসে কেন?,Tomar eto ghum ashe keno?,তুয়ার এত ঘুম কিল্লায় আয়েদ্দে,Tuar eto ghum killay aiyedde,তুমিতাইন অত ঘুমাও কিতার লাগি?,Tumitain oto gumao kitar lagi?
Why do you feel sleepy?,তোমার ঘুম আসে কেন?,Tomar ghum ashe keno?,তুয়ার ঘুম কিল্লায় আয়েদ্দে,Tuar ghum killay aiyedde,তুমিতাইন ঘুমাও কিতার লাগি?,Tumitain gumao kitar lagi?
Why do you feel so sleepy?,এত ঘুম আসে কেন?,Eto ghum ashe keno?,এত ঘুম কিল্লায় আয়েদ্দে,Eto ghum killay aiyedde,অত ঘুমাও কিতার লাগি?,Oto gumao kitar lagi?
Why do you feel sleepy?,ঘুম আসে কেন?,Ghum ashe keno?,ঘুম কিল্লায় আয়েদ্দে,Ghum killay aiyedde,ঘুমাও কিতার লাগি?,Gumao kitar lagi?
Why are you so sleepy?,তোমার এত ঘুম কেন?,Tomar eto ghum keno?,তুয়ার এত ঘুম কিল্লায় ?,Tuar eto ghum killay?,তুমিতাইন অত ঘুমাও কিতার লাগি?,Tumitain oto gumao kitar lagi?
The boy came wearing a white shirt.,ছেলেটি সাদা রঙের একটি শার্ট পরে এসেছিল,Cheleti shada ronger ekti shirt pore eshechilo,ফোয়াইবা সাদা রঙের উগ্গা শার্ট ফরি আইসিল,Foaiba shada ronger ugga shirt fori aisil,ফুয়াটায় এখটা সাদা রঙ্গের শার্ট পিন্দিয়া আইছিল,Fuaṭay ekhoṭa shada ronger sharṭ pindiya aisil
He has now gone to Rajshahi.,সে এখন রাজশাহী চলে গেছে,She ekhon Rajshahi chole geche,ইতে এহন রাজশাহী গেইয়ুই,Ite ehon Rajshahi geiyui,হে এখন রাজশাহীত গেছে গিয়া,He ekhon rajshahit gese giya
He doesn’t laugh at all.,সে একদমই হাসে না,She ekdomi hashe na,ইতে এব্বেরেও না আসে,Ite ebbereo na ashe,হে এখেবারেও হাসে না,He ekhebareo hashe na
He doesn’t laugh.,সে হাসে না,She hashe na,ইতে না আসে,Ite na ashe,হে হাসে না,He hashe na
He laughs.,সে হাসে ,She hashe,ইতে না আসে,Ite na ashe,হে হাসে,He hashe
Doesn’t laugh.,হাসে না,Hashe na,না আসে,Na ashe,হাসে না,Hashe na
Doesn’t laugh at all.,একদমই হাসে না,Ekdomi hashe na,এব্বেরেও না আসে,Ebbereo na ashe,এখেবারেও ,Ekhebareo
He has gone to Rajshahi.,সে রাজশাহী চলে গেছে,She Rajshahi chole geche,ইতে রাজশাহী গেইয়ুই,Ite Rajshahi geiyui,হে রাজশাহীত গেছে গিয়া,He rajshahit gese giya
Has gone to Rajshahi.,রাজশাহী চলে গেছে,Rajshahi chole geche,রাজশাহী গেইয়ুই,Rajshahi geiyui,রাজশাহীত গেছে গিয়া,Rajshahit gese giya
Has gone.,চলে গেছে,Chole geche,গেইয়ুই,Geiyui,গেছে গিয়া,Gese giya
He is now in Rajshahi.,সে এখন রাজশাহী ,She ekhon Rajshahi,ইতে এহন রাজশাহী ,Ite ehon Rajshahi,হে এখন রাজশাহীত ,He ekhon rajshahit
Who is your closest person?,আপনার সব থেকে কাছের মানুষটি কে?,Apnar shob theke kacher manushti ke?,ওনোর বেগুনের হাছে মানুষ হননা?,Onor beguner hase manush honna?,আফনার সব তাকি কাছ ওর মানুষ কে?,Afnar shob taki kas or manush ke?
Who is your close person?,আপনার কাছের মানুষটি কে?,Apnar kacher manushti ke?,ওনোর মানুষ হননা?,Onor manush honna?,আফনার কাছ ওর মানুষ কে?,Afnar kas or manush ke?
Who is the close person?,কাছের মানুষটি কে?,Kacher manushti ke?,হাছে মানুষ হননা?,Hase manush honna?,কাছ ওর মানুষ কে?,Kas or manush ke?
Who is the person?,মানুষটি কে?,Manushti ke?,মানুষ হননা?,Manush honna?,মানুষ কে?,Manush ke?
Has come to Dhaka.,ঢাকায় এসেছে,Dhakay esheche,ধাহা আইসে,Dhaha aisse,ঢাকাত আইছে,Ḍakat aise
The boy has come to Dhaka.,ছেলেটি ঢাকায় এসেছে,Cheleti Dhakay esheche,ফোয়াইবা ধাহা আইসে ,Foaiba dhaha aisse,ফুয়াটায় ঢাকাত আইছে,Fuaṭay ḍakat aise
From Sylhet to Dhaka.,সিলেট থেকে ঢাকায় ,Sylhet theke Dhakay,ফোয়াইবা সিলেট্টুন,Foaiba Silettun,ফুয়াটায় ঢাকাত আইছে,Fuaṭay ḍakat aise
Came wearing a white shirt.,সাদা রঙের একটি শার্ট পরে এসেছিল,Shada ronger ekti shirt pore eshechilo,সাদা রঙের উগ্গা শার্ট ফরি আইসিল,Shada ronger ugga shirt fori aisil,সাদা রঙ্গের শার্ট পিন্দিয়া আইছিল,Shada ronger sharṭ pindiya aisil
A white shirt.,সাদা রঙের একটি শার্ট ,Shada ronger ekti shirt,সাদা রঙের উগ্গা শার্ট,Shada ronger ugga shirt, এখটা সাদা রঙ্গের শার্ট ,Ekhoṭa shada ronger sharṭ
Came wearing a white shirt.,সাদা রঙের শার্ট পরে এসেছিল,Shada ronger shirt pore eshechilo,সাদা রঙের শার্ট ফরি আইসিল,Shada ronger shirt fori aisil,সাদা রঙ্গের শার্ট পিন্দিয়া আইছিল,Shada ronger sharṭ pindiya aisil
White shirt.,সাদা রঙের শার্ট,Shada ronger shirt,সাদা রঙের শার্ট,Shada ronger shirt,সাদা রঙ্গের শার্ট ,Shada ronger sharṭ
Came wearing a shirt.,শার্ট পরে এসেছিল,Shirt pore eshechilo,শার্ট ফরি আইসিল,Shirt fori aisil,শার্ট পিন্দিয়া আইছিল,Sharṭ pindiya aisil
Came wearing.,পরে এসেছিল,Pore eshechilo,ফরি আইসিল,Fori aisil,পিন্দিয়া আইছিল,Pindiya aisil
I feel very bad.,আমার অনেক খারাপ লাগছে,Amar onek kharap lagche,ইয়ার বেশি হারাপ লাগের,Iyar beshi harap lager,আমার বউত খারাপ লাগের,Amar bout kharap lager
I feel bad.,আমার খারাপ লাগছে,Amar kharap lagche,ইয়ার হারাপ লাগের,Iyar harap lager,আমার খারাপ লাগের,Amar kharap lager
Feeling very bad.,অনেক খারাপ লাগছে,Onek kharap lagche,বেশি হারাপ লাগের,Beshi harap lager,বউত খারাপ লাগের,Bout kharap lager
Feeling bad.,খারাপ লাগছে,Kharap lagche,হারাপ লাগের,Harap lager,খারাপ লাগের,Kharap lager
Which school do you study in?,তুমি কোন স্কুলে পড়,Tumi kon school e poro,তুই হন স্কুলত পর,Tui hon schoolot por,তুমি কোন স্কুলো পড়ো ,Tumi kun skulo foṛo
Which school do you study?,কোন স্কুলে পড়,Kon school e poro,হন স্কুলত পর,Hon schoolot por,কোন স্কুলো পড়ো,Kun skulo foṛo
Our home is in Chandpur.,আমাদের বাড়ি চাঁদপুর,Amader bari Chandpur,আর বাড়ি চাঁদপুর ,Ar bari Chadpurot,আমরার বাড়ি চাঁদপুর ,Amrar baṛi sandfur
Our home is in Jessore.,আমাদের বাড়ি যশোর ,Amader bari Jessore,আর বাড়ি যশোরত ,Ar bari Zoshurot,আমরার বাড়ি যশোর ,Amrar baṛi zoshor
Where are you going?,তুমি কোথায় যাও,Tumi kothay jao,তুই হোন্ডা যাইবে,Tui honda zaibe,তুমি কই যাও ,Tumi koi zao
Where are you going?,কোথায় যাও,Kothay jao,হোন্ডা যাইবে,Honda zaibe,কই যাও,Koi zao
He doesn’t like studying at all.,তার বই পর্তে এক্দমি ভাল লাগে না,Tar boi porte ekdomi bhalo lage na,ইতাত্তুন বই ফোয়ারত এফোডাও গম নো লাগে,Itattun boi foarot efodao gom no lage,তার বই পর্তে এক্দম অউ ভালা লাগে না,Tar boi forte ekdom ou bala lage na
Do you not like studying at all?,তোমার কি পড়াশুনা একদমই ভালো লাগে না?,Tomar ki porashuna ekdomi bhalo lage na?,তোয়ার ফোরালেহা গরীরত এফফোডাও গম নো লাগে?,Toar foraleha gorirot effodao gom no lage?,আফ্নার কিতা পরালেখা কর্তে এখদম ভালা লাগে নানি?,Afnar kita foralekha korte ekhdom bala lage nani?
Don’t like studying at all?,পড়াশুনা একদমই ভালো লাগে না?,Porashuna ekdomi bhalo lage na?,ফোরালেহা গরীরত এফফোডাও গম নো লাগে?,Foraleha gorirot effodao gom no lage?,পরালেখা কর্তে এখদম ভালা লাগে নানি?,Foralekha korte ekhdom bala lage nani?
Don’t you like studying?,তোমার কি পড়াশুনা ভালো লাগে না?,Tomar ki porashuna bhalo lage na?,তোয়ার ফোরালেহা গরীরত গম নো লাগে?,Toar foraleha gorirot gom no lage?,আফ্নার কিতা পরালেখা ভালা লাগে নানি?,Afnar kita foralekha bala lage nani?
